name,price,quantity
TX Whiskey,35.19,0
Gentleman Jack,24.09,1
Jack Daniels,26.38,3
,14.99,1
Basil Hayden,41.28,1
Jim Bean,16.68,4
Crown,29.99,4
Taaka,5.55,2
Patron Silver,39.99,2
Reposado,31.79,2
Silver,28.79,7
El Toro,8.76,1
Captian Morgan,17.99,1
Boston Peach Schapps,5.42,2
Sutter Homes Cabernet,5.25,10
Sutter Homes Chardonnay,5.25,4
Sutter Homes Moscato,5.25,2
Sutter Homes White Zin,5.25,2
,5.25,1
oz cans,0.98,0
oz cans,1.18,30
oz cans,0.99,9
oz can,1.04,24
oz can,1.04,120
Budweiser Cans,1.05,12
Budweiser Zero Cans,1.05,0
Dos Equis,1.23,60
Corona Extra,1.29,36
Shiner,1.19,36
,1.43,24
Coop Horny Toad,1.43,6
Redbull,1.63,24
Sugar Free Redbull,1.63,24
Redbull Blue,1.63,24
,9.08,1
,9.08,1
Cherries,14.51,1
Cranberry Juice,1.65,12
Orange Juice,1.89,24
Pineapple Juice,2.16,36
Watermelon Syrup,3.37,6
Triple Sec,2.78,2
Sweet and Sour,0.36,24
Ninas Marg mix,2.54,12
Ginger Beer,0.87,12
gingerale,1.18,14
Cases,56.88,1
Tonic Water,0.69,6
Bitters,4.28,1
